Brand,Model_Type,Model_Name,Number_Of_Seats,Trunk_Volume,Wheel_Base,Empty_Weight,Tank,Urban_Consumption,Mixed_Consumption,Extra_Urban_Consumption,CO2,Number_Cylinders,Valves_Per_Cylinder,Displacement,Din_Power,Engine_Torque,Fiscal_Power,Engine_Position,Power_Supply,Max_Speed,Supercharging_Type,Acceleration,Transmission,Box,Number_Speeds,Distribution,Bodywork,Front_Tire_Width,Rear_Tire_Width,Front_Tire_HL_Ratio,Rear_Tire_HL_Ratio,Front_Suspension,Rear_Suspension,Front_Rims_Diameter,Rear_Rims_Diameter,Maintenance_Interval,Month_Guarantee,Manufacturer_Country,Start_Marketing,End_Marketing,Vehicle_Image,Length,Width,Height,Website_URL,Year
RENAULT,CLIO,IV (2) 1.5 DCI 90 INTENS EDC,5,300 L (Max 1146 L volume),2.59 m,1205 kg,45 l,4.1 l / 100 km ,3.9 l / 100 km ,3.8 l / 100 km ,105 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,5 cv ,no data,Diesel Common Ramp ,176 km/h ,Turbo ,13.1 sec ,before ,automatic ,6 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,12 months ,24 months ,France ,08/01/19 ,03/04/19 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+1.5+dci+90+intens+edc-2018.html,2018
RENAULT,FLUENCE,1.5 DCI 90 FAP BUSINESS ECO2,5,530 L,2.70 m,1263 kg,60 L,5.3 l / 100 km ,4.4 l / 100 km ,4 l / 100 km ,115 g / km ,4 ,2 ,1461 cc ,90 hp at the speed of 4000 rpm ,200 Nm with a diet of 1750 rpm ,5 cv ,no data,Injection,180 km/h,Turbo,13 sec,before,Made Coatique,6 ,no data,sedan/tricorps ,205 mm ,205 mm ,65 ,65 ,no data,no data,15 inches ,15 inches ,24 months ,24 months ,no data,30/11/10 ,10/04/12 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-fluence/S7-modele--renault-fluence.jpg,"4,62 m","2,04 m","1,48 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-fluence-1.5+dci+90+fap+business+eco2-2010.html,2010
RENAULT,CLIO,IV 0.9 TCE 90 ENERGY ZEN ECO2 105G,5,300 L (Max 1146 L volume),2.59 m,1009 kg,45 l,5.7 l / 100 km ,4.7 l / 100 km ,4.1 l / 100 km ,105 g / km ,3 ,4,898 cc,90 hp with a speed of 5,135 nm with a diet of 2500 rpm,5 cv ,no data,Multipoint ,182 km/h ,Turbo ,12.2 sec ,before,Made Coinique,5 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,04/09/13 ,01/13/14 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+0.9+tce+90+energy+zen+eco2+105g-2014.html,2014
RENAULT,CLIO,IV 1.2 16V 75 GPL ZEN,5,300 L (Max 1146 L volume),2.59 m,1036 kg,40 l,9.3 l / 100 km ,7.2 l / 100 km ,6 l / 100 km ,116 g / km ,4 ,4,1149 cc,72 hp,107 nm,4 cv,no data,Multipoint,167 km/h,no data,14.5 sec,before,Made Coinique,5 ,Double camshaft at the head ,hayon sedan ,185 mm ,185 mm ,65 ,65 ,force of force ,twisting axle ,15 inches ,15 inch ,24 months ,24 months ,France ,05/11/13 ,01/16/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.2+16v+75+gpl+zen-2017.html,2017
PEUGEOT,206,(2) 1.6 16S GRIFFE BVA 5P,5,245 l (maximum volume 1130 l),2.44 m,1064 kg,50 l,9.9 l / 100 km ,7.1 l / 100 km ,5.5 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp with a speed of 5800 rpm ,147 nm at the regime of 4000 rpm ,7 cv ,before ,no data,190 km/h ,no data,12.7 sec ,Before ,automatic ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),175 mm,175 mm,65,65 ,no data,no data,14 inches ,14 inches ,no data,24 months ,no data,01/12/03 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+griffe+bva+5p-2004.html,2004
PEUGEOT,206,(2) 1.4 HDI POP ART CLIM 3P,5,245 l (Max 1130 L volume),2.45 m,980 kg,50 l,5.5 l / 100 km ,4.3 l / 100 km ,3.6 l / 100 km ,no data,4 ,2 ,1398 cc ,70 hp with a regime of 4000 rpm ,150 Nm at the 1750 rpm diet ,4 cv ,before ,no data,168 km/h ,turbo ,13.1 sec ,Before ,Made Coinique ,5 ,simple camshaft in mind ,bicorps sedan (3/5 doors) ,175 mm ,175 mm ,65 ,65,no data,no data,14 inches,14 inches,no data,24 months,no data,01/12/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+hdi+pop+art+clim+3p-2005.html,2005
PEUGEOT,108,1.0 VTI 72 STYLE 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,93 g / km ,3 ,4,998 cc,72 hp with a diet of 6000 rpm,93 nm at the speed of 4400 rpm,4 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,04/04/19 ,04/28/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+style+5p-2019.html,2019
RENAULT,CAPTUR,II 1.6 E-TECH FULL HYBRID 145 TECHNO,5,305 l (maximum volume 440 l),2.64 m,no data,48 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,148 nm ,5 cv ,no data,no data,170 km/h ,no data,10.6 sec ,before ,automatic ,4 ,no data,All-terrain ,215 mm ,215 mm ,55 ,55 ,no data,no data,18 inches ,18 inches ,no data,24 months ,no data,01 /10/22 ,no data,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.6+e_tech+full+hybrid+145+techno-2022.html,2022
RENAULT,CLIO,V 1.5 BLUE DCI 85 ZEN,5,366 L (MAX 1069 L volume),2.58 m,1352 kg,39 l,4.3 l / 100 km ,3.6 l / 100 km ,3.2 l / 100 km ,95 g / km ,4 ,2,1461 cc,85 hp with a diet of 3750 rpm,220 Nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,178 km/h ,Turbo ,14.7 sec ,before ,mèsique ,6 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,12 months ,24 months ,France ,05/10/20 ,06/12/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.5+blue+dci+85+zen-2019.html,2019
PEUGEOT,206,(2) 1.4 TRENDY 3P,5,245 L (Max 1130 L volume),2.44 m,932 kg,50 l,8.2 l / 100 km ,6 l / 100 km ,4.7 l / 100 km ,139 g / km ,4 ,2,1360 cc,73 hp at the speed of 5200 rpm,118 nm at the diet of 3300 rpm,5 cv ,before ,no data,166 km/h ,no data,13.7 sec ,before,Made Coinique,5 ,simple camshaft in mind ,tailgate vehicle ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches,14 inches,24 months,24 months,no data,03/10/05,06/13/11,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,87 m","1,90 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+trendy+3p-2011.html,2011
RENAULT,CAPTUR,(2) 1.5 DCI 90 ENERGY IRIDIUM EDC,5,455 l (volume max 1235 l),2.61 m,1290 kg,45 l,4.2 l / 100 km ,3.9 l / 100 km ,3.7 l / 100 km ,101 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,172 km/h ,Turbo ,13.8 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,01/09/18 ,06/03/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-(2)+1.5+dci+90+energy+iridium+edc-2018.html,2018
PEUGEOT,2008,II 1.2 PURETECH 130 S&S GT PACK,5,405 l (Max 1467 L volume),2.61 m,1192 kg,44 l,no data,no data,no data,no data,3 ,4 ,1199 cc ,130 hp ,230 Nm at the 1750 rpm diet ,7 cv ,no data,no data,198 km/h ,no data,8.9 sec ,before ,Made Coinique ,6 ,no data,All-terrain ,215 mm ,215 mm ,55 ,55 ,no data,no data,18 inches ,18 inches ,no data,24 months ,no data,21 /10/21 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.2+puretech+130+s%5Es+gt+pack-2021.html,2021
RENAULT,CLIO,IV 1.5 DCI 90 INTENS EDC,5,300 L (maximum volume 1146 l),2.59 m,1152 kg,45 l,4.3 l / 100 km ,3.7 l / 100 km ,3.3 l / 100 km ,95 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,176 km/h ,Turbo ,12.9 sec ,before ,automatic ,6 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,07/02/13 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+90+intens+edc-2016.html,2016
PEUGEOT,2008,1.6 E-HDI 115 BUSINESS PACK,5,350 l (maximum volume 1172 l),2.54 m,1180 kg,50 l,4.7 l / 100 km ,4 l / 100 km ,3.6 l / 100 km ,105 g / km ,4 ,2,1560 cc,115 hp at 3600 rpm diet,270 Nm at the 1750 rpm diet,6 cv ,no data,Diesel Common Rampe ,188 km/h ,Turbo ,10.4 sec ,before ,mèsique ,6 ,no data,hayon sedan ,195 mm ,195 mm ,60 ,60 ,no data,no data,16 inches ,16 inches ,12 months ,24 months ,no data,02/02/15 ,04/02/15 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.6+e_hdi+115+business+pack-2015.html,2015
RENAULT,CLIO,IV 1.2 TCE 120 ENERGY INITIALE PARIS EDC,5,300 L (Max 1146 L volume),2.59 m,1079 kg,45 l,6.8 l / 100 km ,5.4 l / 100 km ,4.5 l / 100 km ,120 g / km ,4 ,4,1197 cc,120 hp with a speed of 5,205 nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,170 km/h ,Turbo ,9.2 sec ,before ,automatic ,6 ,no data,hayon sedan ,205 mm ,205 mm ,45 ,45 ,no data,no data,17 inches ,17 inches ,24 months ,24 months ,no data,04/05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.2+tce+120+energy+initiale+paris+edc-2016.html,2016
RENAULT,CAPTUR,1.5 DCI 110 ENERGY HELLY HANSEN ECO2,5,455 L (volume max 1235 l),2.61 m,1190 kg,45 l,4.3 l / 100 km ,3.9 l / 100 km ,3.8 l / 100 km ,101 g / km ,4 ,2,1461 cc,110 hp with a speed of 4000 rpm,260 Nm at the 1750 rpm diet,6 cv ,no data,Diesel Common Rampe ,175 km/h ,Turbo ,11 sec ,before ,mèsique ,6 ,Camshafts in mind ,Crossover ,205 mm ,205 mm ,55 ,55 ,leg of Force ,twisting axle ,17 inches,17 inches,24 months,24 months,France ,12/02/15,12/05/15,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.5+dci+110+energy+helly+hansen+eco2-2015.html,2015
PEUGEOT,108,1.2 PURETECH 82 ALLURE TOP! 3P,4,196 L (Max 780 L volume),2.34 m,865 kg,35 l,5.4 l / 100 km ,4.3 l / 100 km ,3.7 l / 100 km ,99 g / km ,3 ,4,1199 cc,82 hp with a diet of 5750 rpm,116 nm on the diet of 2750 rpm,4 cv ,no data,Multipoint ,170 km/h ,no data,10.9 sec ,before,Made Coinique,5 ,no data,micro ,165 mm ,165 mm ,60 ,60 ,no data,no data,15 inches,15 inches,12 months,24 months,no data,02/ 11/15 ,05/07/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.2+puretech+82+allure+top!+3p-2016.html,2016
RENAULT,CLIO,V 1.6 E-TECH HYBRIDE 145 TECHNO,5,254 L (Max 979 L volume),2.58 m,no data,39 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,144 nm ,5 cv ,no data,no data,180 km/h ,no data,9.9 sec ,before ,automatic ,4 ,no data,sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,no data,24 months,no data,10/10 /22 ,no data,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.6+e_tech+hybride+145+techno-2022.html,2022
PEUGEOT,2008,(2) 1.2 PURETECH 130 S&S SIGNATURE EAT6,5,410 L (Max 1400 L volume),2.54 m,1197 kg,50 l,5.9 l / 100 km ,5 l / 100 km ,4.5 l / 100 km ,108 g / km ,3 ,4,1199 cc,130 hp with a speed of 5,230 nm at the 1750 rpm diet,6 cv ,no data,Direct & multipoint petrol injection ,203 km/h ,Turbo ,9 sec ,before ,automatic ,6 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,14/10/19 ,02/12/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.2+puretech+130+s%5Es+signature+eat6-2019.html,2019
PEUGEOT,1007,1.6 110 DOLCE,4,no data,2.32 m,1229 kg,no data,8.6 l / 100 km ,6.6 l / 100 km ,5.4 l / 100 km ,163 g / km ,4 ,4 ,1587 cc ,110 hp with a speed of 5400 rpm ,147 nm with a diet of 4000 rpm ,6 cv ,before ,no data,190 km/h ,no data,11.8 sec ,before ,Meanic ,5 ,variable valve setting ,monocorps,185 mm,185 mm,60,60 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,02/27/06 ,12/18/06 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,69 m","1,61 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.6+110+dolce-2006.html,2006
PEUGEOT,206,(2) 1.4 HDI 70 STYLE 5P,5,245 L (Max 1130 L volume),2.44 m,990 kg,50 l,5.5 l / 100 km ,4.3 l / 100 km ,3.6 l / 100 km ,no data,4 ,2 ,1398 cc ,70 hp at the regime of 4000 rpm ,160 Nm at the 1750 rpm diet ,4 cv ,before ,no data,168 km/h ,turbo ,14.8 sec ,Before ,Made Coinique ,no data,simple camshaft in the lead ,Bicorps sedan (3/5 doors) ,175 mm ,175 mm ,65 ,65,no data,no data,14 inches,14 inches,no data,24 months,no data,25/09/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+hdi+70+style+5p-2005.html,2005
RENAULT,CAPTUR,(2) 1.3 TCE 130 FAP INITIALE PARIS,5,455 l (volume max 1235 l),2.61 m,1304 kg,45 l,7.1 l / 100 km ,5.6 l / 100 km ,4.8 l / 100 km ,128 g / km ,4 ,4,1330 cc,130 hp,220 nm,7 cv,no data,Direct petrol injection,200 km/h,Turbo,10.2 sec,before,no data,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,05/11/19 ,06/01/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-(2)+1.3+tce+130+fap+initiale+paris-2019.html,2019
PEUGEOT,2008,II 1.5 2008 BLUEHDI 130 S&S EAT8 ALLURE BUSINESS,5,405 l (maximum volume 1467 l),2.61 m,1235 kg,41 l,no data,no data,no data,no data,4 ,4 ,1499 cc ,130 hp ,300 Nm at the 1750 rpm diet ,7 cv ,no data,no data,195 km/h ,no data,9.3 sec ,before ,automatic ,8 ,no data,All-terrain ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches ,17 inches ,no data,24 months ,no data,01 /06/20 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.5+2008+bluehdi+130+s%5Es+eat8+allure+business-2022.html,2022
PEUGEOT,106,ELECTRIC 5P,5,184 l,2.39 m,1080 kg,no data,no data,no data,no data,no data,no data,no data,no data,27 CH at the speed of 5500 rpm ,127 nm ,1 cv ,no data,no data,91 km/h ,no data,no data,before ,mèsique ,no data,no data,Bicorps sedan (3/5 doors) ,165 mm ,165 mm ,70 ,70 ,no data,no data,13 inches,13 inches,no data,12 months,no data,01/01/99,01/04/03,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-106/S7-modele--peugeot-106.jpg,"3,68 m","1,59 m","1,38 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-106-electric+5p-2002.html,2002
PEUGEOT,206,(2) 1.6 16S GRIFFE BVA 3P,5,245 L (Max 1130 L volume),2.44 m,1050 kg,50 l,9.9 l / 100 km ,7.1 l / 100 km ,5.5 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp at the 5750 rpm regime ,147 Nm with a regime of 4000 rpm ,7 cv ,before ,no data,196 km/h ,no data,11.4 sec ,Before ,automatic ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,02/05/03 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+griffe+bva+3p-2005.html,2005
PEUGEOT,2008,1.2 PURETECH 82 S&S BLUE LION ACTIVE ETG5,5,350 l (maximum volume 1194 l),2.54 m,1055 kg,50 l,5 l / 100 km ,4.4 l / 100 km ,4 l / 100 km ,99 g / km ,3 ,4,1199 cc,82 hp at the speed of 5750 rpm,118 nm with a diet of 2750 rpm,4 cv ,no data,Multipoint ,170 km/h ,no data,15.4 sec ,before,automatic,5 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,no data,no data,16 inches,16 inches,12 months,24 months,no data,02/ 05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.2+puretech+82+s%5Es+blue+lion+active+etg5-2016.html,2016
PEUGEOT,206,SW 1.6 HDI 110 GRIFFE,5,313 L (maximum volume 1136 l),2.44 m,1122 kg,50 l,6 l / 100 km ,4.8 l / 100 km ,4.1 l / 100 km ,no data,4 ,4 ,1560 cc ,110 hp at 4000 rpm regime ,240 Nm with a diet of 1750 rpm ,7 cv ,before ,no data,186 km/h ,turbo with intercooler ,10.4 sec ,before ,mèsique ,no data,Double camshaft in mind ,station wagon ,195 mm ,195 mm ,55 ,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,01/04/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-sw/S7-modele--peugeot-206-sw.jpg,"4,03 m","1,65 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-sw+1.6+hdi+110+griffe-2004.html,2004
PEUGEOT,2008,II 1.2 PURETECH 130 S&S GT,5,405 l (maximum volume 1467 l),2.61 m,no data,44 l,no data,no data,no data,no data,3 ,4 ,1199 cc ,130 hp ,230 Nm at the 1750 rpm diet ,7 cv ,no data,no data,205 km/h ,no data,9.7 sec ,before ,Made Coinique ,6 ,no data,All-terrain ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches ,17 inches ,no data,24 months ,no data,13 /10/22 ,12/29/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.2+puretech+130+s%5Es+gt-2020.html,2020
RENAULT,CLIO,V 1.0 TCE 100 GPL BUSINESS 21N,5,284 L (Max 1069 L volume),2.58 m,1150 kg,32 l,no data,no data,no data,no data,3 ,4 ,999 cc ,101 ch ,160 Nm ,5 cv ,no data,no data,188 km/h ,no data,11.8 sec ,before ,mèsique ,6 ,no data,sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,no data,24 months,no data,24/01 /22 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+tce+100+gpl+business+21n-2022.html,2022
PEUGEOT,206,(2) 1.4 TRENDY 3P,5,245 L (Max 1130 L volume),2.44 m,932 kg,50 l,8.2 l / 100 km ,6 l / 100 km ,4.7 l / 100 km ,139 g / km ,4 ,2,1360 cc,73 hp at the speed of 5200 rpm,118 nm at the diet of 3300 rpm,5 cv ,before ,no data,166 km/h ,no data,13.7 sec ,before,Made Coinique,5 ,simple camshaft in mind ,tailgate vehicle ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches,14 inches,24 months,24 months,no data,03/10/05,06/13/11,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,87 m","1,90 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+trendy+3p-2009.html,2009
RENAULT,CLIO,V 1.0 SCE 65 BUSINESS 21N,5,284 L (Max 1069 L volume),2.58 m,1028 kg,42 l,no data,no data,no data,no data,3 ,4 ,999 cc ,65 hp ,95 Nm at 3600 rpm regime ,4 cv ,no data,no data,160 km/h ,no data,17.1 sec ,before ,Made Coatique ,5 ,no data,sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,no data,24 months,no data,24/01 /22 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+sce+65+business+21n-2022.html,2022
RENAULT,CAPTUR,1.2 TCE 120 ENERGY INTENS E6 EDC,5,455 l (maximum volume 1235 l),2.61 m,1259 kg,45 l,7 l / 100 km ,5.5 l / 100 km ,4.7 l / 100 km ,125 g / km ,4 ,4,1197 cc,120 hp at the speed of 4900 rpm,205 nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,192 km/h ,Turbo ,10.6 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,no data,no data,17 inches,17 inches,24 months,24 months,no data,01/ 07/15 ,10/03/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.2+tce+120+energy+intens+e6+edc-2016.html,2016
PEUGEOT,108,1.0 VTI 72 S&S TOP! ROLAND GARROS 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,no data,3 ,4 ,998 cc ,72 hp at 6000 rpm regime ,93 Nm with a regime of 4400 rpm ,4 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,Before ,Made Coinique ,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,09/28/20 ,30/11/20 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+s%5Es+top!+roland+garros+5p-2019.html,2019
PEUGEOT,206,(2) 1.6 16S TRENDY BVA 5P,5,245 L (Max 1130 L volume),2.45 m,1064 kg,50 l,10.2 l / 100 km ,7.5 l / 100 km ,5.8 l / 100 km ,176 g / km ,4 ,4,1587 cc,110 hp with a diet of 5800 rpm,147 nm at the speed of 4000 rpm,7 cv ,before ,no data,188 km/h ,no data,11.6 sec ,before,automatic,4 ,Variable valve timing ,Bicorps sedan (3/5 doors) ,175 mm,175 mm,65,65 ,no data,no data,14 inches ,14 inches ,no data,24 months ,no data,03/10/05 ,05/03/07 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+trendy+bva+5p-2005.html,2005
